早期検知したか	早期検知時刻	デッドラインミスが発生したか	デッドラインミス時刻	平均CPU利用率
0	99999999999999999	1	192	91.74418604651163
0	99999999999999999	1	124	91.25000000000001
0	99999999999999999	1	420	96.24855156431055
1	256	1	287	96.40522875816993
1	321	1	360	95.22251308900525
1	573	1	480	99.51609616951916
0	99999999999999999	1	360	95.2292899408284
1	170	1	174	90.98258706467662
0	99999999999999999	1	420	94.87427466150871
0	99999999999999999	1	360	99.05660377358491
0	99999999999999999	1	360	97.38372093023256
1	326	1	360	94.10511363636363
0	99999999999999999	1	380	91.66666666666667
0	99999999999999999	1	420	93.43565088757396
0	99999999999999999	1	364	92.44031830238725
1	240	1	360	92.13286713286712
1	696	1	660	98.15296566077004
0	99999999999999999	1	360	96.49122807017544
0	99999999999999999	1	360	96.13152804642166
0	99999999999999999	1	420	93.32682291666667
1	317	1	325	94.06960227272728
0	99999999999999999	1	282	95.4656862745098
0	99999999999999999	1	208	92.46794871794873
1	469	1	420	97.88602941176471
0	99999999999999999	1	154	91.00877192982455
0	99999999999999999	1	355	91.73280423280423
0	99999999999999999	1	360	98.12588401697312
0	99999999999999999	1	360	96.06031128404669
0	99999999999999999	1	360	96.81151241534988
1	392	1	360	96.06205250596659
1	1345	1	1480	98.97976111479761
0	99999999999999999	1	190	92.84037558685446
0	99999999999999999	1	203	93.32959641255606
1	493	1	540	98.16455696202533
0	99999999999999999	1	156	92.70833333333334
1	233	1	348	97.0608108108108
0	99999999999999999	1	159	92.73097826086956
1	278	1	282	91.97882736156352
0	99999999999999999	1	360	91.5282392026578
1	428	1	432	96.62087912087912
1	217	1	264	93.19349315068493
0	99999999999999999	1	612	97.37460815047024
0	99999999999999999	1	372	92.00507614213197
1	230	1	360	90.62499999999999
1	363	1	367	92.6898734177215
0	99999999999999999	1	251	95.94339622641509
0	99999999999999999	1	270	93.21672354948805
1	1685	1	1689	99.03790087463557
0	99999999999999999	1	360	94.70620842572063
1	594	1	598	93.11102236421725
1	262	1	266	92.46575342465754
0	99999999999999999	1	135	90.76086956521739
0	99999999999999999	1	360	95.07238307349667
0	99999999999999999	1	360	96.95652173913044
0	99999999999999999	1	140	91.39221556886227
0	99999999999999999	1	142	91.33435582822086
1	298	1	360	92.94117647058823
1	276	1	418	96.1042600896861
0	99999999999999999	1	386	92.33374384236454
0	99999999999999999	0	99999999999999999	91.53905053598776
1	606	1	610	91.0377358490566
0	99999999999999999	1	216	92.91845493562231
0	99999999999999999	1	176	94.27860696517413
1	958	1	1286	98.59208523592085
0	99999999999999999	1	304	93.90432098765433
1	283	1	287	91.6796875
0	99999999999999999	1	360	95.42410714285714
1	313	1	360	96.99754901960785
1	1057	1	1065	95.74468085106383
0	99999999999999999	1	228	93.92292490118577
0	99999999999999999	1	213	92.3076923076923
1	276	1	360	93.30254041570439
1	388	1	360	94.62174940898345
0	99999999999999999	1	360	97.87703804347825
0	99999999999999999	1	360	96.73748103186647
0	99999999999999999	1	540	96.88807531380755
0	99999999999999999	1	496	95.35163776493256
0	99999999999999999	1	124	91.83333333333331
1	249	1	278	92.72875816993465
0	99999999999999999	1	325	92.8622159090909
1	658	1	660	90.28184480234262
1	190	1	194	92.03488372093024
1	207	1	301	96.14197530864199
1	257	1	360	94.93569131832797
1	383	1	387	94.59951456310681
1	1176	1	600	99.22342814371258
0	99999999999999999	1	360	98.16137566137564
1	330	1	360	94.86301369863014
1	186	1	264	90.10600706713781
0	99999999999999999	1	304	94.01355421686746
0	99999999999999999	1	360	97.2206385404789
0	99999999999999999	1	278	94.27257525083613
1	648	1	652	91.03460972017673
1	412	1	416	90.17653758542141
1	244	1	360	97.2064393939394
0	99999999999999999	1	231	90.78185328185329
0	99999999999999999	1	271	91.79421768707483
0	99999999999999999	1	360	90.30701754385964
0	99999999999999999	1	423	92.58333333333334
0	99999999999999999	1	360	96.40688259109311
0	99999999999999999	1	360	97.09821428571429
0	99999999999999999	1	420	98.68340477648499
0	99999999999999999	1	270	92.3564189189189
0	99999999999999999	1	420	93.21329639889196
0	99999999999999999	1	211	91.90848214285714
1	425	1	429	96.30743982494529
0	99999999999999999	1	360	93.18181818181817
0	99999999999999999	1	360	96.30606860158312
0	99999999999999999	1	360	96.26556016597509
0	99999999999999999	1	420	90.88196286472149
1	215	1	219	93.72384937238496
1	303	1	307	92.6051051051051
0	99999999999999999	1	235	91.61877394636015
1	336	1	360	93.53785900783289
1	244	1	360	92.56272401433692
0	99999999999999999	1	360	94.91304347826087
0	99999999999999999	1	245	92.3611111111111
0	99999999999999999	1	304	94.81424148606811
1	283	1	287	94.12698412698413
1	373	1	842	98.92939814814814
0	99999999999999999	1	480	96.01449275362319
0	99999999999999999	1	179	92.52450980392157
1	3073	1	3077	99.35546245568804
1	673	1	704	92.30235783633843
0	99999999999999999	1	197	94.81132075471697
0	99999999999999999	1	249	91.69675090252707
1	221	1	296	94.53125
1	337	1	345	96.21934604904634
1	288	1	360	91.43730886850152
0	99999999999999999	1	480	93.783542039356
0	99999999999999999	1	749	97.96511627906978
0	99999999999999999	1	268	94.07894736842104
0	99999999999999999	1	360	94.24676524953789
0	99999999999999999	1	285	94.29260450160773
1	264	1	293	94.61477987421384
1	309	1	313	90.19970414201183
0	99999999999999999	1	420	93.46049046321525
0	99999999999999999	1	188	93.8953488372093
0	99999999999999999	1	360	96.34760705289673
0	99999999999999999	1	270	96.42241379310344
0	99999999999999999	1	371	92.75456919060052
0	99999999999999999	1	240	90.60114503816793
1	205	1	209	92.57478632478633
0	99999999999999999	1	600	96.31666666666666
0	99999999999999999	1	360	98.41729067392785
0	99999999999999999	1	425	91.63870246085011
1	454	1	458	90.89730290456433
0	99999999999999999	1	360	91.50116822429908
0	99999999999999999	1	184	90.08413461538461
0	99999999999999999	1	763	95.72663252240719
1	254	1	258	95.26785714285714
0	99999999999999999	1	126	91.25
0	99999999999999999	1	360	97.9378818737271
0	99999999999999999	1	133	90.625
1	442	1	446	91.84670781893006
0	99999999999999999	1	259	94.08127208480565
0	99999999999999999	1	360	97.80023781212842
0	99999999999999999	1	182	90.77970297029704
1	317	1	321	93.0072463768116
0	99999999999999999	1	211	90.59873949579831
0	99999999999999999	1	360	96.2962962962963
0	99999999999999999	1	360	97.60273972602741
1	691	1	600	98.52272727272728
0	99999999999999999	1	258	93.35106382978722
1	135	1	202	94.28251121076232
1	219	1	223	92.39999999999999
0	99999999999999999	1	420	90.9629981024668
0	99999999999999999	1	276	92.35641891891892
1	324	1	360	96.55283505154638
1	406	1	410	90.72867298578198
1	284	1	500	97.52380952380952
0	99999999999999999	1	420	92.35015772870662
1	229	1	242	90.77715355805243
0	99999999999999999	1	279	90.32392026578073
1	885	1	889	97.79331140350877
1	227	1	260	95.69597069597069
0	99999999999999999	1	360	97.32389502762432
0	99999999999999999	1	360	97.39197530864197
0	99999999999999999	1	360	91.66666666666666
1	248	1	593	97.62965964343599
1	320	1	324	94.40028901734104
0	99999999999999999	1	323	93.56725146198829
1	1421	1	1540	99.04275686024252
0	99999999999999999	1	778	97.0118898623279
0	99999999999999999	1	192	90.13761467889907
