早期検知したか	早期検知時刻	デッドラインミスが発生したか	デッドラインミス時刻	平均CPU利用率
1	228	1	244	91.88679245283019
1	186	1	190	92.09302325581396
1	187	1	293	95.63492063492063
0	99999999999999999	1	398	96.23815165876776
1	220	1	273	92.62499999999999
0	99999999999999999	1	409	91.10411899313502
1	610	1	718	97.00134770889487
1	462	1	540	91.32653061224491
1	141	1	154	90.95303867403315
1	334	1	357	95.30026109660574
1	99	1	165	92.6747311827957
1	1410	1	1426	98.04155313351498
0	99999999999999999	1	360	90.62499999999999
1	381	1	385	90.63260340632604
1	303	1	316	92.00581395348837
1	792	1	797	96.11045130641332
0	99999999999999999	1	183	90.18292682926828
1	408	1	412	93.82151029748285
1	485	1	585	94.91803278688523
1	235	1	273	92.92372881355931
1	446	1	450	96.28947368421052
0	99999999999999999	1	221	93.00411522633745
1	108	1	358	97.56016042780749
1	419	1	540	90.97222222222223
1	313	1	317	91.17005813953489
1	219	1	257	90.08771929824562
1	220	1	294	94.68167701863355
1	363	1	508	91.21919014084509
1	180	1	184	94.88636363636364
0	99999999999999999	1	148	91.54411764705883
0	99999999999999999	1	164	91.40211640211639
1	368	1	372	96.07412060301507
0	99999999999999999	1	313	91.19402985074628
1	263	1	272	92.96075085324232
1	135	1	139	92.95454545454547
1	237	1	271	95.6896551724138
0	99999999999999999	1	360	92.76315789473684
1	255	1	259	94.1696113074205
1	523	1	553	95.43889845094664
0	99999999999999999	1	480	91.80379746835443
0	99999999999999999	1	360	91.81309904153355
1	201	1	257	94.87632508833921
0	99999999999999999	1	660	90.19495412844037
1	236	1	249	94.76415094339623
0	99999999999999999	1	161	92.8475935828877
1	256	1	260	93.24561403508771
1	3107	1	3253	99.60341671751067
1	402	0	99999999999999999	93.89250814332247
0	99999999999999999	1	128	90.75
1	341	1	393	95.61455847255371
1	124	1	207	94.23913043478261
1	517	1	541	96.5909090909091
1	217	1	221	95.38934426229508
1	415	1	540	95.01146788990825
0	99999999999999999	1	184	91.58653846153845
1	192	1	218	94.72336065573771
1	250	1	273	93.561872909699
1	325	1	430	95.37444933920705
1	213	1	261	92.08477508650519
0	99999999999999999	1	362	91.86046511627907
1	303	1	307	95.09878419452887
1	323	1	339	93.68131868131869
1	908	1	912	97.6120597652081
1	1994	1	2073	99.55720440402105
1	437	1	460	91.31002087682673
1	368	1	385	90.38228155339806
1	352	1	360	91.48026315789474
1	189	1	193	94.15887850467291
1	390	1	403	91.17483296213808
1	215	1	219	93.46938775510205
0	99999999999999999	1	387	90.21084337349399
1	318	1	429	94.24342105263158
0	99999999999999999	1	290	94.36900958466454
1	438	1	454	96.71875000000001
1	165	1	169	93.62113402061854
0	99999999999999999	0	99999999999999999	91.78156748911465
0	99999999999999999	1	600	92.48595505617976
1	330	1	353	94.22572178477691
1	203	1	229	95.78313253012048
1	130	1	134	92.29559748427673
1	1064	1	1114	98.90542907180384
1	423	1	632	94.3683409436834
0	99999999999999999	1	325	94.42471590909089
0	99999999999999999	1	154	90.06944444444444
1	345	1	349	95.30831099195711
0	99999999999999999	0	99999999999999999	93.47988077496274
1	277	1	360	95.20202020202021
1	229	1	267	90.87030716723551
1	110	1	201	95.6111111111111
1	365	1	391	93.57057416267943
1	128	1	876	98.2202447163515
1	150	1	189	93.34112149532712
1	412	1	600	90.34629981024668
1	493	1	506	95.34774436090225
0	99999999999999999	1	468	96.32956878850104
0	99999999999999999	1	593	91.91653160453808
1	312	1	385	94.8905109489051
1	270	1	283	95.19543973941369
1	969	1	973	97.85786290322581
1	1468	1	1472	98.12959251837007
1	242	1	351	94.67158176943701
0	99999999999999999	1	162	93.48404255319149
1	455	1	420	91.43339768339769
1	271	1	321	94.40406976744187
1	342	1	511	96.52255639097744
1	456	1	555	97.33218588640275
1	245	1	352	95.0328947368421
1	298	1	313	95.05131964809385
1	200	1	347	95.9568733153639
1	262	1	278	94.60132890365448
1	1010	1	2003	99.167488899852
0	99999999999999999	1	420	91.08433734939759
1	352	1	365	93.92673521850901
0	99999999999999999	1	393	94.95192307692308
1	235	1	339	96.70138888888889
0	99999999999999999	1	248	92.07875457875458
0	99999999999999999	1	182	93.62113402061856
1	99	1	185	93.87135922330098
1	275	1	322	94.58575581395351
1	354	1	358	94.53125
1	322	1	326	93.66246498599439
