早期検知したか	早期検知時刻	デッドラインミスが発生したか	デッドラインミス時刻	平均CPU利用率
0	99999999999999999	0	99999999999999999	86.37387387387388
0	99999999999999999	1	360	85.35031847133759
1	193	1	197	90.0
0	99999999999999999	0	99999999999999999	83.81240544629348
0	99999999999999999	1	310	80.3409090909091
0	99999999999999999	0	99999999999999999	88.08869701726844
0	99999999999999999	1	144	81.53846153846155
0	99999999999999999	1	124	88.9261744966443
1	367	1	371	84.22544080604534
0	99999999999999999	0	99999999999999999	82.90857605177993
0	99999999999999999	0	99999999999999999	81.93403298350823
1	209	1	213	84.03361344537815
0	99999999999999999	0	99999999999999999	80.32659409020218
0	99999999999999999	0	99999999999999999	84.90415335463258
0	99999999999999999	0	99999999999999999	80.24256651017215
0	99999999999999999	0	99999999999999999	82.0785597381342
0	99999999999999999	1	372	88.64795918367346
0	99999999999999999	0	99999999999999999	81.59836065573771
1	233	1	237	88.16037735849056
1	545	1	549	83.00847457627117
0	99999999999999999	0	99999999999999999	83.97435897435898
1	326	1	342	86.19863013698631
1	255	1	285	89.41717791411041
0	99999999999999999	1	136	89.28571428571428
0	99999999999999999	1	360	88.04824561403508
0	99999999999999999	1	197	86.64772727272727
0	99999999999999999	1	237	86.376953125
0	99999999999999999	1	158	89.62912087912088
0	99999999999999999	1	167	87.88461538461537
0	99999999999999999	1	420	88.68343195266272
1	124	1	128	88.31699346405229
0	99999999999999999	0	99999999999999999	89.52755905511812
1	447	1	451	85.55555555555557
1	510	1	514	89.2193308550186
1	488	1	492	84.78163992869875
0	99999999999999999	0	99999999999999999	82.24409448818898
0	99999999999999999	0	99999999999999999	81.95084485407065
0	99999999999999999	0	99999999999999999	89.98397435897435
0	99999999999999999	0	99999999999999999	86.00393700787401
0	99999999999999999	0	99999999999999999	84.45616883116884
0	99999999999999999	1	433	83.68775933609959
0	99999999999999999	0	99999999999999999	81.42054574638844
0	99999999999999999	0	99999999999999999	89.50082508250823
0	99999999999999999	1	213	88.34033613445378
0	99999999999999999	1	140	85.16566265060241
0	99999999999999999	1	186	86.96428571428571
1	165	1	204	89.73029045643153
0	99999999999999999	1	219	87.86458333333333
0	99999999999999999	1	449	83.96317829457364
0	99999999999999999	0	99999999999999999	87.1742671009772
0	99999999999999999	1	388	87.06467661691542
1	176	1	193	83.33333333333333
0	99999999999999999	1	214	81.13636363636364
0	99999999999999999	1	609	80.86370839936609
0	99999999999999999	0	99999999999999999	87.51974723538706
0	99999999999999999	1	244	89.81481481481482
1	273	1	302	88.69912790697674
0	99999999999999999	0	99999999999999999	85.8424336973479
0	99999999999999999	1	500	88.23950381679388
0	99999999999999999	1	465	81.28544423440454
0	99999999999999999	0	99999999999999999	84.31928687196111
0	99999999999999999	1	660	88.69250425894377
1	418	1	438	86.60526315789474
1	174	1	178	86.40046296296296
1	226	1	230	88.8235294117647
0	99999999999999999	1	318	83.58695652173914
1	461	1	474	87.40636704119848
0	99999999999999999	0	99999999999999999	85.9917355371901
1	208	1	232	89.14092664092664
0	99999999999999999	0	99999999999999999	80.07131537242472
0	99999999999999999	0	99999999999999999	80.83333333333334
0	99999999999999999	0	99999999999999999	88.09250764525994
1	639	1	643	89.21460176991151
0	99999999999999999	1	360	82.35735735735736
0	99999999999999999	0	99999999999999999	86.64434523809524
1	139	1	158	81.54761904761907
0	99999999999999999	0	99999999999999999	82.70161290322581
0	99999999999999999	0	99999999999999999	83.89154704944177
0	99999999999999999	0	99999999999999999	83.02980132450331
0	99999999999999999	1	192	86.81506849315068
0	99999999999999999	0	99999999999999999	81.8003144654088
0	99999999999999999	1	333	86.31615598885794
0	99999999999999999	1	385	87.49999999999999
1	143	1	147	80.88624338624338
0	99999999999999999	0	99999999999999999	84.78964401294499
0	99999999999999999	0	99999999999999999	80.26422764227644
0	99999999999999999	1	316	86.54970760233917
1	197	1	201	88.1004366812227
0	99999999999999999	1	258	88.48920863309353
0	99999999999999999	1	198	88.16666666666666
0	99999999999999999	0	99999999999999999	81.46687697160883
1	428	1	434	81.96392785571142
0	99999999999999999	1	420	85.76115485564303
0	99999999999999999	1	243	84.19811320754718
0	99999999999999999	1	129	86.5566037735849
1	158	1	312	89.04109589041097
0	99999999999999999	1	133	86.37096774193547
0	99999999999999999	1	135	89.30817610062894
0	99999999999999999	0	99999999999999999	84.39417177914112
1	593	1	597	89.71774193548387
0	99999999999999999	1	182	87.74038461538461
0	99999999999999999	0	99999999999999999	85.75310559006209
0	99999999999999999	0	99999999999999999	83.85080645161291
0	99999999999999999	1	557	88.10344827586208
0	99999999999999999	1	246	85.96082089552239
0	99999999999999999	0	99999999999999999	83.82581648522552
0	99999999999999999	1	331	84.71428571428572
0	99999999999999999	1	360	89.7804054054054
0	99999999999999999	0	99999999999999999	83.64147909967846
1	437	1	513	85.60017271157167
0	99999999999999999	1	249	85.76158940397352
