早期検知したか	早期検知時刻	デッドラインミスが発生したか	デッドラインミス時刻	平均CPU利用率
1	440	1	602	90.5185758513932
1	461	1	542	90.59734513274337
1	439	1	555	96.57917383820997
1	601	1	622	94.11651234567901
0	99999999999999999	1	198	90.97533632286996
1	329	1	359	95.54263565891473
1	330	1	353	95.99867724867725
0	99999999999999999	1	170	90.64102564102565
1	218	1	232	93.04474708171206
1	391	1	406	95.26785714285714
1	506	1	559	91.73838209982789
1	206	1	215	93.09071729957806
1	233	1	474	96.28514056224898
1	130	1	232	95.18072289156626
1	270	1	406	97.48243559718969
1	1110	1	1114	98.70614035087719
0	99999999999999999	1	480	90.78014184397163
1	535	1	539	95.29593639575971
0	99999999999999999	1	635	95.18504531722054
1	549	1	562	95.1923076923077
1	328	1	400	92.67647058823529
1	200	1	762	97.56679389312976
1	291	1	514	95.84879406307977
1	677	1	699	97.99446749654219
1	279	1	292	94.24342105263159
1	669	1	695	96.56726768377254
1	347	1	400	94.95249406175773
1	339	1	503	94.5785984848485
0	99999999999999999	1	360	93.08206106870229
1	306	1	329	90.75630252100841
1	428	1	510	94.19475655430712
1	322	1	339	91.89814814814815
1	261	1	265	94.87068965517241
1	234	1	844	97.9214780600462
1	225	1	360	91.18497109826589
0	99999999999999999	0	99999999999999999	93.6231884057971
1	318	1	322	91.54624277456648
0	99999999999999999	1	509	95.16355140186916
1	258	1	311	94.61077844311377
0	99999999999999999	1	512	95.4757462686567
0	99999999999999999	1	426	92.84922394678492
1	414	1	720	91.83400267737618
1	222	1	247	93.77323420074349
0	99999999999999999	1	228	90.95849802371542
1	492	1	525	96.15732368896926
1	203	0	99999999999999999	91.30081300813006
1	536	0	99999999999999999	92.06031976744185
1	331	1	385	90.14204545454545
1	294	1	307	93.99847094801221
1	441	1	445	95.65565031982942
0	99999999999999999	1	284	94.13430420711975
1	519	1	562	96.48305084745763
0	99999999999999999	1	454	96.92708333333334
1	353	1	378	93.60831234256926
1	116	1	357	95.69190600522194
0	99999999999999999	1	252	92.10288808664261
0	99999999999999999	1	191	90.4816513761468
1	230	1	371	93.54430379746836
0	99999999999999999	1	378	94.89480198019803
1	418	0	99999999999999999	90.59139784946237
0	99999999999999999	0	99999999999999999	92.48807631160572
0	99999999999999999	1	360	93.75
1	133	1	255	92.68953068592057
1	417	1	435	95.46195652173913
1	389	1	407	90.07270693512304
0	99999999999999999	1	364	95.32051282051283
1	250	1	273	94.43521594684385
1	329	1	356	94.16226912928758
1	205	1	209	90.81196581196582
1	120	1	272	94.64285714285714
1	164	1	168	90.67357512953367
1	383	1	417	91.92004504504504
1	192	1	196	92.46651785714286
1	313	1	382	95.97772277227722
1	573	1	598	96.7147435897436
1	529	1	610	97.44496855345912
1	356	1	406	90.88785046728972
1	264	1	268	94.20415224913495
1	420	1	457	96.72680412371135
1	274	1	278	93.18181818181817
1	300	1	320	93.87608069164267
1	430	1	473	90.6187624750499
0	99999999999999999	1	291	95.47619047619047
1	565	1	681	97.69830028328612
0	99999999999999999	1	354	94.4148936170213
0	99999999999999999	1	740	97.58485639686685
1	129	1	193	94.76190476190476
1	313	1	328	92.74079320113314
1	446	1	453	95.7463465553236
1	276	1	322	91.96428571428574
0	99999999999999999	1	454	96.09538784067087
1	224	1	360	94.79442970822281
1	245	1	324	95.83333333333334
1	985	1	1062	98.28182656826567
1	307	1	320	95.77312138728324
1	238	1	485	93.3578431372549
1	197	1	214	92.23958333333333
1	135	1	139	91.56626506024097
0	99999999999999999	1	134	90.3125
1	355	1	368	94.16035353535354
1	202	1	206	91.77350427350427
1	200	1	204	92.92763157894737
1	223	1	408	94.44124423963135
1	125	1	142	91.41104294478527
0	99999999999999999	1	132	91.29032258064517
0	99999999999999999	1	212	93.00213675213675
1	640	1	644	96.1696562032885
1	441	1	446	95.46178343949045
1	287	1	291	90.34810126582279
1	194	1	208	90.99576271186442
1	465	1	469	94.54868154158216
1	270	1	323	95.70086705202311
1	485	1	489	96.9970703125
1	174	1	198	94.06108597285068
0	99999999999999999	1	184	92.27594339622641
0	99999999999999999	1	138	95.12987012987013
1	284	1	288	93.97394136807817
1	135	1	205	92.26973684210527
1	597	1	638	97.3714069591528
1	180	1	196	92.95454545454544
1	190	1	204	92.11956521739131
1	222	1	235	94.92337164750957
1	474	1	478	95.1305220883534
1	209	1	213	90.71729957805907
1	298	1	463	95.15463917525773
1	423	1	641	91.67921686746988
1	335	1	339	93.33333333333333
1	279	1	283	95.73863636363637
1	250	1	254	94.39964157706093
0	99999999999999999	1	177	92.28855721393035
1	292	1	305	92.14169381107492
1	424	0	99999999999999999	90.28384279475983
1	330	1	353	92.06081081081082
1	125	1	233	93.9453125
1	427	1	474	91.19718309859154
1	247	1	251	94.50549450549451
1	124	1	664	97.65965166908563
1	205	1	209	90.34334763948497
1	356	1	360	92.65060240963855
1	223	1	227	94.87051792828686
1	129	1	219	93.25313807531381
1	181	1	185	92.0
1	219	1	223	93.34349593495935
1	302	1	306	91.69207317073172
1	354	1	358	90.66622691292878
1	703	1	902	94.83549083063647
1	249	1	338	94.91758241758241
0	99999999999999999	1	216	93.28125
1	252	1	256	92.06989247311829
1	300	1	304	95.3409090909091
0	99999999999999999	1	474	96.15963855421688
1	417	1	647	94.43198804185351
1	222	1	268	95.76124567474048
1	405	1	450	96.12341772151899
1	164	1	168	93.23453608247424
1	303	1	319	95.203488372093
0	99999999999999999	1	203	90.30269058295966
1	339	1	350	93.33554376657825
0	99999999999999999	1	308	90.39909638554217
1	314	1	360	92.64069264069263
0	99999999999999999	1	184	91.60714285714285
0	99999999999999999	1	138	90.74367088607595
1	466	1	492	93.99319066147861
1	202	1	249	91.96750902527076
0	99999999999999999	1	475	96.37423935091277
1	256	1	260	94.05381944444446
0	99999999999999999	1	154	92.5
0	99999999999999999	1	416	94.57386363636363
0	99999999999999999	1	360	91.42491467576791
1	235	1	251	91.06498194945848
1	181	1	199	95.47511312217195
1	364	1	436	97.56493506493509
1	236	1	360	93.44106463878327
0	99999999999999999	1	202	94.71365638766521
1	215	1	242	91.99074074074073
0	99999999999999999	1	335	94.94459833795014
0	99999999999999999	1	270	91.5133779264214
0	99999999999999999	1	186	91.07142857142857
1	321	1	363	94.93506493506493
0	99999999999999999	1	440	93.51952277657269
0	99999999999999999	1	374	90.82278481012658
1	319	1	351	94.09814323607426
0	99999999999999999	1	350	95.56666666666666
1	393	1	496	97.3848368522073
1	220	1	273	94.78114478114477
0	99999999999999999	0	99999999999999999	91.34768740031897
1	137	1	194	92.07175925925925
1	196	1	200	93.359375
1	196	1	200	91.79515418502203
1	167	1	192	91.0300925925926
1	540	1	544	96.40017667844522
1	274	1	278	95.375
1	189	1	208	91.50219298245612
1	432	1	437	95.93340611353712
1	235	1	249	95.54924242424244
0	99999999999999999	1	185	92.2846889952153
1	175	1	338	95.71727019498607
1	454	1	528	97.22727272727272
1	549	1	562	97.05008488964346
1	422	1	623	95.42307692307692
1	316	1	332	94.52683615819208
1	275	1	380	95.30864197530865
1	1188	1	1192	98.73975409836065
1	154	1	158	91.50815217391305
1	434	1	448	91.9831223628692
0	99999999999999999	1	219	91.09375000000001
1	545	1	600	97.43178170144463
1	240	1	244	95.38461538461537
1	1170	1	1184	98.97896039603961
0	99999999999999999	1	428	96.91629955947135
0	99999999999999999	1	360	90.09515570934256
0	99999999999999999	0	99999999999999999	90.31402936378466
0	99999999999999999	1	254	90.48913043478261
1	729	1	733	96.98275862068965
1	483	1	496	93.66602687140114
1	192	1	275	95.22184300341296
1	419	1	805	97.96441495778046
1	301	1	354	93.96437994722956
0	99999999999999999	1	1179	98.52574750830564
1	405	0	99999999999999999	92.11626139817629
1	120	1	542	93.90514184397163
0	99999999999999999	1	220	93.57142857142857
1	279	1	518	97.0710332103321
0	99999999999999999	1	219	91.18852459016392
1	370	1	374	91.94162436548223
1	476	1	496	96.509900990099
1	220	1	335	93.87052341597797
1	540	1	545	96.1487676056338
1	281	1	334	97.00557103064067
1	263	1	423	95.19015659955257
1	432	1	436	95.03239740820734
1	214	1	238	94.52830188679245
1	241	1	245	92.66917293233084
1	223	1	325	95.25495750708215
1	560	1	632	96.42857142857143
0	99999999999999999	1	466	93.9663951120163
1	183	1	199	91.80232558139534
1	224	1	228	93.31632653061226
1	205	1	219	92.12962962962963
1	388	1	412	90.89861751152074
1	110	1	271	93.32770270270271
0	99999999999999999	1	784	97.66975308641976
1	664	1	754	98.5408560311284
1	605	1	657	95.15007320644219
1	265	1	278	92.03795379537955
0	99999999999999999	1	1919	99.12461380020598
1	431	1	616	93.6328125
0	99999999999999999	1	420	95.60526315789474
1	138	1	142	92.57575757575756
0	99999999999999999	1	189	91.9392523364486
0	99999999999999999	1	270	93.24324324324323
0	99999999999999999	1	238	94.99045801526717
0	99999999999999999	1	184	92.41504854368932
0	99999999999999999	1	194	92.1875
1	152	1	294	94.98432601880877
1	215	1	219	94.2110655737705
1	242	1	343	94.26229508196721
1	482	1	643	92.2272047832586
1	136	1	140	90.30303030303031
1	407	1	428	97.21916299559471
1	1549	1	1553	98.98734177215191
0	99999999999999999	1	128	92.72875816993464
1	144	1	370	95.44303797468353
1	214	1	241	93.19029850746269
1	269	1	314	93.93491124260355
0	99999999999999999	1	278	92.82178217821782
0	99999999999999999	1	316	95.20089285714286
0	99999999999999999	1	409	90.95982142857142
1	551	0	99999999999999999	91.96428571428572
1	225	1	503	94.93879472693033
1	402	1	423	95.99109131403118
0	99999999999999999	1	179	94.84924623115577
1	406	1	505	98.02380952380952
1	355	1	359	93.65131578947368
1	389	1	393	92.94117647058825
1	189	1	296	91.35802469135803
1	180	1	199	94.00452488687783
1	128	1	182	91.10576923076923
1	140	1	144	92.71472392638037
1	289	1	360	91.64133738601824
1	545	1	622	90.8267716535433
0	99999999999999999	1	303	92.70833333333333
1	268	1	295	95.35714285714285
0	99999999999999999	1	369	91.70886075949366
1	202	1	231	93.29150579150578
1	270	1	274	93.70833333333333
1	140	1	144	91.31736526946106
1	415	1	496	96.41826923076923
1	330	1	334	93.47067039106145
1	404	1	465	90.7433712121212
1	426	1	661	95.18248175182481
1	567	1	632	92.33687405159333
1	375	1	552	95.3913043478261
1	342	1	443	96.73447537473234
1	263	1	296	95.10869565217392
1	256	1	260	90.67028985507247
1	193	1	197	91.837899543379
1	471	1	546	93.50792253521126
1	308	1	338	94.61805555555556
0	99999999999999999	1	250	93.11594202898551
1	546	1	560	98.23580034423408
1	423	1	427	93.47345132743362
1	570	1	642	94.30970149253731
1	126	1	254	94.81818181818183
1	319	1	341	91.76829268292681
1	243	1	335	95.9620786516854
0	99999999999999999	1	379	91.24381188118812
1	240	1	244	91.1985018726592
1	117	1	190	92.47630331753554
1	628	1	637	95.83963691376702
1	215	1	244	94.05204460966543
1	237	1	360	92.3136645962733
1	399	1	403	93.75
1	343	1	347	95.35040431266846
1	211	1	215	92.29166666666664
1	142	1	146	93.11377245508983
0	99999999999999999	1	497	93.7015503875969
1	228	1	415	93.67848970251717
1	317	1	345	93.98648648648648
1	137	1	244	95.7865168539326
1	399	1	432	95.84245076586433
0	99999999999999999	1	182	91.66666666666667
0	99999999999999999	1	360	93.3550185873606
1	244	1	291	96.72523961661341
1	395	1	428	96.5
1	134	1	138	90.35493827160494
0	99999999999999999	0	99999999999999999	90.4128086419753
0	99999999999999999	1	182	91.80622009569377
0	99999999999999999	1	360	90.61461794019932
1	362	1	360	93.35774058577407
1	206	1	210	94.81981981981983
1	512	1	540	97.28647686832741
1	111	1	209	94.09282700421942
1	211	1	215	94.67391304347825
1	196	1	236	92.816091954023
0	99999999999999999	1	300	94.34250764525994
1	203	1	227	91.66666666666667
1	309	1	379	96.07054455445544
1	196	1	200	93.89140271493213
1	420	1	445	93.14775160599572
1	118	1	208	94.56521739130434
1	255	1	259	92.6829268292683
1	159	1	289	92.97619047619048
1	279	1	302	95.59049079754601
1	184	1	209	91.61324786324786
1	455	1	468	93.50515463917526
1	232	1	322	95.94202898550724
1	596	1	634	95.78267477203647
1	212	1	227	94.12955465587045
0	99999999999999999	1	124	90.45138888888889
1	287	1	322	95.52023121387283
1	380	1	1173	98.32495812395308
1	430	1	555	91.78321678321677
1	463	1	488	93.17961165048544
1	571	1	575	97.2408026755853
1	134	1	149	92.97337278106508
1	197	1	224	96.58163265306122
1	298	1	302	92.09104938271605
1	360	1	373	90.73275862068965
1	323	1	327	94.84240687679082
1	480	1	761	98.50770218228499
0	99999999999999999	1	141	94.58841463414635
1	335	1	349	94.13746630727762
1	372	1	376	92.36809045226131
1	315	1	319	94.6064139941691
1	290	1	306	94.46969696969697
1	288	1	319	93.04755043227665
1	286	1	300	95.95238095238095
1	279	1	330	90.56338028169014
1	321	1	325	93.05949008498584
1	248	1	360	90.47805642633229
1	150	1	154	90.27777777777777
1	181	1	204	94.1079295154185
1	244	1	312	96.42857142857143
1	2006	1	2010	99.0669797330697
1	256	1	260	95.37852112676056
1	415	0	99999999999999999	93.33206686930092
1	103	1	133	92.00949367088607
1	341	1	358	95.85526315789474
1	195	1	224	91.71686746987952
1	396	1	478	94.68562874251496
1	297	1	329	92.21830985915494
1	580	1	584	96.26436781609195
1	840	1	863	97.76182432432432
0	99999999999999999	1	430	93.48901098901098
1	210	1	257	93.50877192982456
1	129	1	747	97.91937581274382
1	790	1	820	98.25892857142857
1	525	0	99999999999999999	90.22346368715084
1	417	1	527	94.92328519855594
1	480	1	484	92.86764705882352
0	99999999999999999	1	347	94.3
1	606	1	756	98.04487179487178
1	372	1	435	92.32954545454547
1	384	1	407	94.50231481481481
1	201	1	205	92.77173913043478
1	225	1	249	94.02573529411764
1	523	1	527	92.13963963963964
1	757	1	761	94.75602027883397
0	99999999999999999	1	232	92.49999999999999
1	133	1	147	94.09509202453987
1	342	1	346	93.73324396782843
0	99999999999999999	1	360	90.1060070671378
1	228	1	232	95.37037037037037
1	193	1	218	91.07142857142857
1	120	1	297	95.2639751552795
1	731	1	735	96.38157894736842
1	125	1	342	97.0303867403315
1	182	1	244	95.72243346007605
1	314	1	318	92.55780346820809
1	221	1	333	92.0391061452514
1	293	1	298	95.3173374613003
1	209	1	213	92.12765957446808
1	201	1	206	93.36283185840708
1	118	1	544	93.1578947368421
1	185	1	198	90.25900900900902
1	728	1	841	95.22016222479724
1	200	1	257	92.83807829181495
1	247	1	375	97.4367088607595
0	99999999999999999	1	129	91.07142857142857
1	1402	1	1446	98.89305177111717
1	553	0	99999999999999999	90.38602941176471
1	310	1	360	93.17846607669617
1	197	1	201	94.13716814159291
1	415	1	419	94.82954545454547
1	470	1	474	96.675
0	99999999999999999	1	424	94.26733780760625
0	99999999999999999	1	203	91.2556053811659
1	230	1	391	95.11529126213591
1	232	1	236	93.41856060606061
1	376	1	517	97.43119266055047
1	424	1	565	95.40034071550255
1	300	1	323	94.58689458689459
1	410	1	454	96.21369294605809
1	134	1	138	93.02147239263805
1	495	1	533	96.99909747292418
1	408	1	541	95.79665492957747
1	398	1	475	95.2191235059761
1	420	1	576	94.49750830564784
0	99999999999999999	1	247	92.34317343173431
1	400	1	760	96.17834394904459
1	125	1	133	90.36624203821655
1	557	1	561	97.43150684931506
1	670	1	683	95.0070323488045
0	99999999999999999	1	194	91.875
1	194	1	247	91.97080291970804
1	137	1	141	92.53048780487805
1	1665	1	1687	99.10087719298245
0	99999999999999999	1	275	94.08333333333333
1	430	1	708	93.18647540983608
0	99999999999999999	0	99999999999999999	90.8110119047619
1	407	1	573	91.90317195325542
1	243	1	247	93.63468634686346
0	99999999999999999	1	364	90.77763496143959
0	99999999999999999	1	220	93.87755102040816
1	202	1	215	93.30543933054393
1	199	1	222	90.08097165991903
0	99999999999999999	1	308	93.8622754491018
1	415	1	451	94.63912133891213
1	284	1	288	93.11708860759495
