早期検知したか	早期検知時刻	デッドラインミスが発生したか	デッドラインミス時刻	平均CPU利用率
1	303	1	307	92.5314465408805
0	99999999999999999	1	360	91.65348101265822
1	230	1	261	94.93838028169014
0	99999999999999999	1	360	96.40522875816994
1	174	1	239	91.52621722846442
1	304	1	312	91.44542772861355
1	273	1	360	92.22301136363636
0	99999999999999999	1	360	93.51114649681527
1	452	1	456	94.41268191268193
1	258	1	360	93.09764309764309
0	99999999999999999	1	397	95.04773269689738
0	99999999999999999	1	320	94.69476744186046
0	99999999999999999	1	384	92.87037037037037
1	309	1	316	96.33875739644971
1	340	1	420	92.4715909090909
0	99999999999999999	1	380	92.77777777777777
0	99999999999999999	1	224	92.55
1	235	1	360	92.89867109634551
1	499	1	480	99.50842696629213
0	99999999999999999	1	258	92.77777777777779
0	99999999999999999	1	303	90.53627760252365
0	99999999999999999	1	534	91.1789297658863
0	99999999999999999	1	360	99.19340774328568
1	321	1	360	97.48134328358208
1	295	1	302	95.75688073394495
0	99999999999999999	1	360	97.46037463976946
0	99999999999999999	1	892	98.13656147986941
0	99999999999999999	1	360	99.41920054663477
0	99999999999999999	1	450	91.71907756813417
0	99999999999999999	1	133	91.27358490566039
1	631	1	635	98.27981651376147
1	1892	1	3463	99.5414158784752
1	196	1	360	95.72649572649573
0	99999999999999999	1	360	95.34817351598173
1	235	1	239	94.12593984962406
0	99999999999999999	1	420	99.14409330323551
1	507	1	511	93.63339552238806
0	99999999999999999	1	415	94.30272108843536
0	99999999999999999	1	468	96.85598377281949
0	99999999999999999	1	155	90.22988505747126
0	99999999999999999	1	360	98.91254578754578
1	222	1	226	92.52988047808765
0	99999999999999999	1	420	96.0565476190476
1	243	1	247	94.36090225563909
0	99999999999999999	1	360	98.78682842287694
0	99999999999999999	1	360	97.51517450682854
1	3614	1	4581	99.63642283481659
0	99999999999999999	1	299	93.359375
0	99999999999999999	1	360	90.60077519379844
0	99999999999999999	1	360	97.63513513513514
1	716	1	420	98.69773210489015
1	232	1	238	90.14522821576762
0	99999999999999999	1	425	91.25000000000001
0	99999999999999999	1	660	92.32772435897436
1	277	1	360	91.97819314641742
0	99999999999999999	1	360	96.62102473498234
0	99999999999999999	1	360	98.33690987124464
1	1531	1	2201	99.56565884476535
0	99999999999999999	1	266	91.37931034482757
1	536	1	600	92.7526595744681
1	182	1	186	90.5940594059406
1	269	1	1300	98.7292921686747
1	344	1	348	95.75342465753425
0	99999999999999999	1	199	90.45758928571428
1	205	1	230	90.89999999999999
1	269	1	336	95.49861495844875
1	163	1	188	92.99065420560748
0	99999999999999999	1	360	97.7043673012318
1	369	1	373	94.23316708229427
0	99999999999999999	1	360	99.6975337366217
0	99999999999999999	1	368	93.1615776081425
1	193	1	197	90.71428571428572
0	99999999999999999	1	420	97.44640605296343
0	99999999999999999	1	267	93.40753424657535
0	99999999999999999	1	420	90.40041067761808
1	191	1	312	93.75000000000001
1	416	1	420	96.93995381062355
1	1020	1	1314	98.49925428784489
0	99999999999999999	1	360	96.20433789954338
0	99999999999999999	1	232	91.45752895752895
1	514	1	518	91.45948434622467
1	585	1	360	93.13008130081303
0	99999999999999999	1	420	96.73410404624278
1	793	1	360	97.4484536082474
1	1583	1	660	99.2919921875
1	194	1	229	91.63346613545818
0	99999999999999999	1	454	94.96822033898306
0	99999999999999999	0	99999999999999999	90.07518796992481
1	491	1	600	90.03759398496241
1	455	1	480	96.60891089108911
0	99999999999999999	1	360	98.20127504553733
0	99999999999999999	1	387	94.73844282238443
0	99999999999999999	1	504	92.22589792060492
0	99999999999999999	1	360	92.59393063583815
1	449	1	453	94.72987288135593
1	458	1	543	98.00531914893618
0	99999999999999999	1	311	93.61940298507463
0	99999999999999999	1	603	94.21850079744816
1	329	1	335	95.69327731092436
0	99999999999999999	1	360	95.18987341772151
1	815	1	819	98.23775388291517
0	99999999999999999	1	509	92.02626641651034
1	222	1	226	93.99606299212599
1	194	1	198	90.34598214285712
0	99999999999999999	1	249	94.25925925925925
1	465	1	660	97.88613303269449
0	99999999999999999	1	360	96.4751958224543
1	475	1	600	96.77650429799426
1	376	1	360	93.39473684210526
1	385	1	401	95.27972027972027
1	226	1	360	91.72354948805462
0	99999999999999999	1	374	91.34615384615385
1	186	1	210	91.68478260869564
1	478	1	480	92.66409266409266
0	99999999999999999	1	360	93.13063063063063
1	334	1	338	95.99719101123596
1	168	1	172	92.09844559585493
1	1050	1	360	99.12863070539419
1	219	1	223	92.58130081300813
0	99999999999999999	1	176	90.6887755102041
1	639	1	643	96.06446776611693
0	99999999999999999	1	360	95.2020202020202
0	99999999999999999	1	250	95.01845018450184
1	1161	1	1165	98.03571428571428
1	177	1	227	92.89215686274511
1	311	1	403	90.83333333333334
0	99999999999999999	1	162	91.10962566844921
0	99999999999999999	1	360	93.17484662576688
1	237	1	360	97.08029197080292
1	300	1	420	96.77002583979328
0	99999999999999999	1	360	99.2183960126869
0	99999999999999999	1	206	93.06167400881058
1	214	1	218	90.97510373443984
1	367	1	371	90.37247474747475
0	99999999999999999	1	342	90.64189189189189
0	99999999999999999	1	772	97.32704402515722
0	99999999999999999	1	244	91.65129151291514
0	99999999999999999	1	360	96.51116427432216
0	99999999999999999	1	471	93.66370808678502
1	730	1	750	94.18945312500001
0	99999999999999999	1	420	92.46031746031746
0	99999999999999999	1	360	92.45867768595042
1	481	1	480	98.34229390681003
0	99999999999999999	1	420	90.00677506775067
1	277	1	360	93.64973262032085
1	217	1	282	93.72977346278317
1	192	1	360	92.81572164948454
1	144	1	626	98.55100463678517
1	180	1	321	96.64017341040463
0	99999999999999999	1	540	93.9678899082569
0	99999999999999999	1	360	97.14656290531777
0	99999999999999999	1	360	95.63492063492063
1	1792	1	1796	97.17828418230563
1	197	1	201	92.37938596491227
0	99999999999999999	1	259	94.55935251798559
1	197	1	249	92.9029304029304
1	175	1	179	91.66666666666667
1	210	1	235	91.08527131782945
1	208	1	212	92.29957805907173
0	99999999999999999	1	333	94.63276836158192
0	99999999999999999	1	360	99.58575581395347
1	317	1	321	92.65759312320915
1	360	1	364	95.8656330749354
1	1632	1	1636	99.22533092659447
0	99999999999999999	1	259	92.03345070422534
1	523	1	527	95.62159709618875
0	99999999999999999	1	197	92.32954545454547
0	99999999999999999	1	195	92.09641255605382
0	99999999999999999	1	576	93.5625
1	467	1	540	95.43499043977056
0	99999999999999999	1	480	90.2374031007752
0	99999999999999999	1	360	91.98630136986301
1	373	1	377	97.04949238578682
1	584	1	588	97.0684039087948
0	99999999999999999	1	225	92.18106995884774
0	99999999999999999	1	335	93.73259052924791
1	201	1	215	90.44117647058823
1	202	1	308	92.24397590361446
1	166	1	170	90.53217821782178
1	223	1	227	94.45564516129032
1	349	1	353	92.30263157894736
1	191	1	195	91.21621621621622
1	333	1	337	92.97945205479452
0	99999999999999999	1	360	95.95070422535211
0	99999999999999999	1	360	99.5435393258427
1	312	1	316	90.16812865497077
0	99999999999999999	1	360	93.37392550143267
1	413	1	360	96.51898734177213
1	279	1	360	94.61206896551724
0	99999999999999999	1	370	98.06937172774869
0	99999999999999999	1	360	99.09567275185937
1	332	1	364	94.63824289405684
1	662	1	660	94.8951048951049
1	184	1	261	94.97330960854094
1	385	1	360	95.41666666666667
0	99999999999999999	1	360	95.15977443609023
1	194	1	251	92.3913043478261
1	248	1	252	92.70446096654275
0	99999999999999999	1	234	90.84302325581396
0	99999999999999999	1	420	94.45364238410596
1	508	1	480	98.25731497418245
0	99999999999999999	1	1673	99.32811577082103
1	253	1	257	90.42452830188678
0	99999999999999999	1	360	90.02403846153847
1	630	1	634	92.6301684532925
1	403	1	480	92.50535331905782
1	251	1	360	93.28947368421052
1	270	1	360	92.52411575562702
0	99999999999999999	1	360	97.67441860465115
1	186	1	190	90.58056872037915
1	173	1	198	90.47085201793723
1	467	1	542	95.08377425044091
0	99999999999999999	1	360	96.5804066543438
0	99999999999999999	1	142	91.3970588235294
1	299	1	303	93.86432926829268
0	99999999999999999	1	230	91.12745098039214
0	99999999999999999	0	99999999999999999	91.27207062600321
0	99999999999999999	1	360	96.23893805309734
1	245	1	249	92.98327137546468
1	218	1	499	96.72675521821633
1	189	1	193	90.8256880733945
0	99999999999999999	1	360	97.98787210584344
0	99999999999999999	1	420	93.03201506591337
0	99999999999999999	1	241	90.83011583011583
1	315	1	360	94.30835734870317
0	99999999999999999	1	269	93.92241379310344
0	99999999999999999	1	663	93.30234159779614
1	415	1	419	95.45711060948082
1	511	1	515	92.7255985267035
0	99999999999999999	1	360	90.34267912772586
0	99999999999999999	1	483	90.01956947162428
1	384	1	420	97.93762575452715
1	250	1	332	95.8806818181818
1	191	1	322	97.86676646706587
0	99999999999999999	1	360	96.47328881469114
1	381	1	385	94.77848101265823
0	99999999999999999	1	371	91.82449494949493
1	387	1	420	94.24126637554585
1	419	1	420	95.36637931034483
0	99999999999999999	1	703	91.42661179698217
0	99999999999999999	1	360	90.9920634920635
1	297	1	360	91.36029411764706
1	329	1	333	95.56338028169013
1	525	1	360	96.16379310344828
