早期検知したか	早期検知時刻	デッドラインミスが発生したか	デッドラインミス時刻	平均CPU利用率
0	99999999999999999	1	252	81.70289855072464
0	99999999999999999	1	360	80.99137931034483
0	99999999999999999	1	420	80.10510510510511
0	99999999999999999	0	99999999999999999	87.21550497866286
1	145	1	184	89.6412037037037
1	152	1	156	85.25815217391306
1	195	1	199	89.50892857142857
0	99999999999999999	0	99999999999999999	84.23137876386689
0	99999999999999999	1	420	89.62121212121211
1	479	1	600	86.21108949416342
0	99999999999999999	1	540	80.17970401691332
1	405	1	540	89.44256756756756
0	99999999999999999	1	360	87.59225092250922
0	99999999999999999	0	99999999999999999	84.11084529505582
0	99999999999999999	0	99999999999999999	85.65830721003135
0	99999999999999999	1	360	82.8688524590164
1	181	1	194	87.10585585585586
0	99999999999999999	0	99999999999999999	80.42664670658681
0	99999999999999999	1	600	80.13229927007298
1	563	0	99999999999999999	88.7715179968701
0	99999999999999999	0	99999999999999999	87.26452119309262
0	99999999999999999	0	99999999999999999	80.32520325203252
1	145	1	159	82.63546798029556
0	99999999999999999	1	184	89.9390243902439
1	189	1	223	89.31451612903226
0	99999999999999999	1	360	83.75468164794007
1	145	1	149	89.4774011299435
0	99999999999999999	0	99999999999999999	81.67189952904238
0	99999999999999999	1	540	84.73382045929017
0	99999999999999999	1	600	87.17500000000001
0	99999999999999999	1	480	89.51406649616368
0	99999999999999999	0	99999999999999999	83.70500782472614
0	99999999999999999	0	99999999999999999	84.8046875
0	99999999999999999	0	99999999999999999	80.34615384615385
1	671	1	675	84.62193460490462
0	99999999999999999	1	185	87.20379146919431
0	99999999999999999	0	99999999999999999	87.67387944358579
0	99999999999999999	0	99999999999999999	88.7214983713355
1	121	0	99999999999999999	87.81999999999998
1	133	1	137	86.1280487804878
0	99999999999999999	0	99999999999999999	86.28246753246752
0	99999999999999999	0	99999999999999999	85.58
1	180	1	184	88.13451776649747
0	99999999999999999	1	164	86.88186813186812
1	667	1	671	88.30058224163028
0	99999999999999999	0	99999999999999999	83.91129032258063
0	99999999999999999	1	420	89.16893732970028
0	99999999999999999	1	197	89.0695067264574
1	568	0	99999999999999999	88.86932707355241
0	99999999999999999	1	420	86.82432432432432
0	99999999999999999	1	360	88.85379061371842
0	99999999999999999	1	420	84.27762039660057
0	99999999999999999	1	660	84.88938053097345
0	99999999999999999	1	540	87.92553191489361
1	174	1	198	87.27876106194691
0	99999999999999999	1	168	89.11082474226804
0	99999999999999999	0	99999999999999999	81.33064516129033
0	99999999999999999	1	660	80.24825783972126
0	99999999999999999	0	99999999999999999	84.23228346456695
0	99999999999999999	1	420	86.19565217391303
0	99999999999999999	1	360	85.5513307984791
1	174	1	188	88.9354066985646
0	99999999999999999	1	600	80.12640449438203
0	99999999999999999	1	600	82.63761467889907
0	99999999999999999	1	420	87.46323529411767
0	99999999999999999	1	420	83.64285714285714
1	144	1	148	88.15028901734104
0	99999999999999999	1	130	88.75
0	99999999999999999	1	600	82.34714003944772
0	99999999999999999	1	360	86.39575971731448
0	99999999999999999	1	420	86.13333333333333
0	99999999999999999	0	99999999999999999	85.98111658456487
0	99999999999999999	1	360	85.63559322033899
1	266	1	270	86.1864406779661
0	99999999999999999	1	313	88.02552552552551
0	99999999999999999	0	99999999999999999	81.65849673202615
