早期検知したか	早期検知時刻	デッドラインミスが発生したか	デッドラインミス時刻	平均CPU利用率
0	99999999999999999	0	99999999999999999	93.09954751131221
0	99999999999999999	1	420	94.53125
1	436	1	440	93.10897435897436
1	286	1	290	94.95192307692308
1	195	1	413	96.6533180778032
1	236	1	922	97.90569020021077
0	99999999999999999	1	360	90.67164179104478
1	193	1	260	96.71296296296296
1	657	1	420	97.20873786407768
0	99999999999999999	1	357	93.7012987012987
0	99999999999999999	1	219	91.71875000000001
1	250	1	254	90.78237410071944
0	99999999999999999	1	321	94.01862464183381
0	99999999999999999	1	460	91.89958592132503
0	99999999999999999	1	172	90.43367346938776
1	524	1	420	98.57219827586206
0	99999999999999999	1	420	90.9153005464481
0	99999999999999999	1	360	90.06024096385542
1	455	1	459	95.58521560574948
0	99999999999999999	1	360	98.83379405666896
1	3200	1	3410	99.48371146015127
0	99999999999999999	1	511	91.96768060836501
1	254	1	290	94.38694267515923
1	215	1	288	94.94336569579289
0	99999999999999999	1	480	96.5
1	219	1	420	98.33724569640063
1	1291	1	360	98.6570945945946
0	99999999999999999	1	486	91.07490272373539
0	99999999999999999	1	536	90.72508896797153
0	99999999999999999	1	360	93.52678571428572
1	291	1	295	94.82758620689656
1	1038	1	2599	99.3861819566045
0	99999999999999999	1	223	92.15587044534414
0	99999999999999999	1	360	94.27419354838709
1	371	1	667	97.27633477633478
0	99999999999999999	1	267	96.18055555555557
1	206	1	1309	98.84745127436281
1	326	1	393	96.66466346153847
1	566	1	540	97.20394736842107
1	586	1	600	98.05253623188406
1	1070	1	360	97.88269927536231
0	99999999999999999	1	257	91.63701067615658
1	434	1	438	93.92624728850325
1	203	1	207	91.22340425531915
0	99999999999999999	1	495	94.41094619666048
1	465	1	473	97.52004008016031
0	99999999999999999	1	401	91.83491686460808
0	99999999999999999	1	360	91.875
1	708	1	480	98.79411764705881
0	99999999999999999	1	360	98.2819264069264
0	99999999999999999	1	398	93.79432624113475
1	505	1	509	91.82242990654206
0	99999999999999999	1	360	92.11229946524062
0	99999999999999999	1	360	91.0828025477707
1	231	1	235	93.48659003831418
1	446	1	360	96.00515463917526
1	584	1	601	97.93006430868166
0	99999999999999999	1	420	99.44690265486726
0	99999999999999999	1	190	92.84883720930233
1	136	1	193	90.9502262443439
1	189	1	381	94.55445544554456
1	263	1	267	95.60344827586208
1	379	1	383	92.13414634146342
1	328	1	480	96.58859470468433
0	99999999999999999	1	360	97.15277777777779
1	553	1	480	98.77260981912144
1	237	1	310	95.18939393939394
0	99999999999999999	1	188	90.59633027522936
0	99999999999999999	1	285	92.01277955271566
1	276	1	360	93.4748427672956
1	1224	1	1228	98.87539808917198
0	99999999999999999	1	600	90.14957264957266
0	99999999999999999	1	231	93.07228915662651
1	268	1	360	94.57236842105263
1	290	1	530	97.74368231046932
0	99999999999999999	1	142	92.0933734939759
0	99999999999999999	1	420	95.20997375328083
1	456	1	512	93.25284090909089
0	99999999999999999	1	360	94.6765498652291
0	99999999999999999	1	360	92.26519337016575
1	451	1	360	95.89249492900608
1	680	1	600	95.926243567753
1	188	1	192	90.41095890410958
0	99999999999999999	1	461	92.71673387096774
0	99999999999999999	1	227	90.04901960784314
1	307	1	311	93.41517857142858
0	99999999999999999	1	849	97.69736842105264
1	187	1	473	96.33534136546184
0	99999999999999999	1	332	96.7696629213483
0	99999999999999999	1	452	90.05208333333333
0	99999999999999999	1	255	92.40107913669064
0	99999999999999999	1	180	92.05097087378643
0	99999999999999999	1	480	92.55434782608697
0	99999999999999999	1	352	95.68614130434784
0	99999999999999999	1	1890	98.97412441191845
1	132	1	196	93.77906976744187
1	249	1	253	92.81135531135531
0	99999999999999999	1	158	92.9861111111111
0	99999999999999999	1	360	98.74798061389338
1	217	1	221	93.05555555555556
1	381	1	385	92.61904761904762
0	99999999999999999	1	183	92.1723300970874
0	99999999999999999	1	360	97.11711711711713
0	99999999999999999	1	420	98.42233009708738
1	417	1	421	96.64221218961625
0	99999999999999999	0	99999999999999999	91.67888563049854
1	463	1	482	91.57818532818533
1	230	1	360	90.5775075987842
0	99999999999999999	1	198	92.07175925925927
0	99999999999999999	1	172	90.73834196891191
0	99999999999999999	1	420	90.15513126491648
1	181	1	419	95.60961968680091
0	99999999999999999	1	360	97.53472222222223
1	292	1	420	93.59504132231406
1	274	1	360	91.75955414012739
1	290	1	294	94.0217391304348
1	180	1	252	92.95454545454545
1	2999	1	3394	99.4480994152047
1	434	1	460	91.29098360655738
0	99999999999999999	1	292	93.05111821086263
1	172	1	289	97.4025974025974
0	99999999999999999	1	360	99.31028610354223
1	210	1	244	92.54629629629629
0	99999999999999999	1	284	94.06146179401993
1	347	1	354	96.0438829787234
1	353	1	547	96.77137870855148
0	99999999999999999	1	189	94.51650943396227
0	99999999999999999	1	360	99.48653582838887
1	190	1	194	93.25117370892019
0	99999999999999999	1	246	90.57835820895521
0	99999999999999999	1	360	94.87179487179486
