早期検知したか	早期検知時刻	デッドラインミスが発生したか	デッドラインミス時刻	平均CPU利用率
1	514	1	634	93.10872894333843
1	197	1	234	93.42369477911646
0	99999999999999999	0	99999999999999999	90.29146141215107
1	356	1	360	95.82219251336898
1	288	1	318	95.44460641399417
1	318	1	363	95.44871794871796
0	99999999999999999	1	246	92.75092936802973
1	346	1	366	91.46419437340154
0	99999999999999999	0	99999999999999999	90.28417818740401
1	172	1	215	92.66528925619835
1	189	1	216	92.21311475409836
1	321	1	353	91.82058047493405
1	300	1	313	96.68898809523809
1	520	1	524	98.20772058823529
1	415	1	432	90.95394736842104
1	361	1	365	91.44402035623409
1	156	1	169	92.08115183246073
1	341	1	345	95.3965053763441
1	120	1	205	95.40043290043289
1	683	1	728	98.31216577540107
1	439	1	467	94.52965235173824
1	366	1	399	90.93309859154931
0	99999999999999999	0	99999999999999999	94.73002958579882
1	191	1	344	95.65363881401619
1	441	1	819	96.78994082840237
1	206	1	210	92.05508474576271
1	315	1	404	94.2890442890443
1	196	1	211	90.91880341880344
1	287	1	304	95.56818181818183
1	125	1	340	94.23076923076923
1	245	1	249	93.36363636363636
1	196	1	241	94.52247191011236
1	228	1	246	90.58988764044943
1	306	1	310	94.8507462686567
1	193	1	274	95.36423841059603
0	99999999999999999	1	193	92.5799086757991
1	1707	1	1753	99.11417322834646
1	190	1	283	95.27687296416937
1	446	1	450	96.48109243697479
1	261	1	265	96.280276816609
1	307	1	699	97.8103448275862
0	99999999999999999	0	99999999999999999	92.14285714285714
0	99999999999999999	0	99999999999999999	90.625
1	300	1	304	94.65408805031447
1	191	1	195	95.25
1	265	1	587	97.22450657894737
1	242	1	269	93.45238095238095
1	810	1	814	98.03657074340528
1	234	1	265	90.50687285223368
0	99999999999999999	1	440	95.13586956521739
1	386	1	475	93.4619238476954
1	189	1	215	91.96808510638297
1	419	1	450	95.8864118895966
0	99999999999999999	1	233	92.26653696498055
1	219	1	268	93.34470989761093
1	284	1	307	96.36363636363637
0	99999999999999999	0	99999999999999999	91.51851851851852
0	99999999999999999	1	194	92.12962962962963
1	553	1	580	95.58580858085807
1	450	1	484	96.11984282907663
0	99999999999999999	1	380	94.56790123456793
1	434	1	438	96.34615384615384
1	261	1	265	94.25087108013938
1	387	1	403	94.33139534883722
1	210	1	272	95.496632996633
1	232	1	407	97.14452214452216
1	133	1	438	96.62526997840175
1	520	1	531	93.80610412926391
1	155	1	159	91.01351351351352
1	439	1	467	95.4868154158215
0	99999999999999999	1	193	93.5185185185185
1	271	1	293	93.31487341772153
1	270	1	446	97.61777301927195
1	540	1	665	93.01948051948054
1	372	1	423	95.74053452115814
1	461	1	465	94.71938775510205
1	536	1	684	97.4645390070922
1	445	1	460	96.53490759753593
0	99999999999999999	1	407	94.59696261682242
1	555	1	559	91.2478336221837
1	228	1	232	91.76356589147288
1	619	1	623	97.07241910631741
0	99999999999999999	1	229	93.77470355731226
1	307	1	311	96.30597014925372
1	243	1	247	93.91385767790263
1	319	1	323	90.7514450867052
1	257	1	288	95.0
1	279	1	349	96.20596205962059
1	112	1	463	97.97717842323652
1	182	1	214	93.18181818181817
1	191	1	195	93.46064814814815
1	319	1	323	91.35446685878964
1	234	1	344	90.86021505376344
1	377	1	467	97.0408163265306
1	131	1	135	91.171875
1	1149	1	1153	98.08425063505504
1	415	1	618	91.77786499215071
1	489	1	493	90.46692607003892
1	579	1	593	95.27957860615884
1	266	1	280	93.05555555555554
1	501	1	517	96.86924493554328
1	394	1	707	96.9986357435198
1	226	1	315	91.53225806451613
0	99999999999999999	0	99999999999999999	92.06026058631922
1	416	1	431	90.81858407079646
1	454	1	468	91.48989898989899
1	205	1	231	94.44444444444444
0	99999999999999999	1	249	92.92279411764704
1	394	1	421	92.33780760626398
0	99999999999999999	1	342	90.58219178082192
1	411	1	606	93.52218700475437
1	172	1	253	93.5
0	99999999999999999	1	306	94.68654434250763
1	950	1	973	98.85793172690764
1	1213	1	1217	98.62228479485117
1	410	1	441	94.0438034188034
1	361	1	365	90.93830334190233
1	472	1	535	97.94642857142857
1	168	1	172	90.5625
1	689	1	693	93.59374999999999
1	593	1	604	92.5476947535771
1	359	1	415	94.27200902934538
1	339	1	343	95.02724795640326
1	214	1	231	95.93137254901961
1	245	1	249	95.75729927007299
1	587	1	591	90.43560606060606
1	540	0	99999999999999999	93.18350668647845
0	99999999999999999	1	124	93.74999999999999
1	540	1	553	91.36442141623489
1	234	1	415	90.23783185840708
1	277	1	294	96.07371794871796
1	391	1	543	96.11842105263158
1	478	1	360	96.71442687747036
1	637	1	641	94.90181268882174
1	310	1	314	90.66176470588235
1	265	1	278	94.01993355481729
1	266	1	270	94.32203389830508
0	99999999999999999	1	255	92.97153024911033
1	490	1	504	97.69924098671726
1	301	1	305	92.63595166163142
1	215	1	219	90.59959349593497
1	239	1	280	95.55921052631578
1	166	1	170	91.43401015228427
0	99999999999999999	1	191	93.31395348837209
1	169	1	173	91.05263157894736
1	252	1	322	96.14285714285714
0	99999999999999999	1	195	93.01136363636364
1	364	1	368	96.38324873096447
1	353	1	432	95.55131004366811
1	179	1	249	94.16058394160584
0	99999999999999999	1	319	92.26017441860465
0	99999999999999999	1	183	91.76682692307692
1	450	1	463	96.08895705521473
1	476	1	528	94.96841155234657
1	481	1	506	96.65559772296015
1	210	1	214	93.85416666666667
1	348	1	361	93.6502659574468
1	272	1	342	91.18798955613576
0	99999999999999999	1	243	92.4056603773585
1	283	1	418	96.25563063063063
1	367	1	371	95.92731829573935
1	2104	1	2120	99.43473193473193
1	499	1	673	94.04422253922966
1	400	1	649	93.79615952732644
1	257	1	308	91.72740524781341
1	503	1	618	90.88785046728972
1	168	1	262	94.5367132867133
1	119	1	323	95.85755813953487
1	409	1	430	90.04329004329006
1	426	1	494	91.88311688311688
1	418	1	450	91.68336673346694
0	99999999999999999	1	335	94.90084985835693
1	232	1	248	91.94139194139193
1	268	1	386	95.54878048780489
1	1906	1	1924	99.23913043478261
0	99999999999999999	0	99999999999999999	92.0436507936508
0	99999999999999999	1	194	91.85779816513762
0	99999999999999999	1	142	92.93154761904763
1	484	1	507	91.64312617702447
1	235	1	249	93.7274368231047
0	99999999999999999	1	225	91.43426294820716
1	168	1	172	95.10309278350515
0	99999999999999999	1	139	90.03067484662577
1	535	1	571	91.110183639399
0	99999999999999999	1	360	91.84966216216218
0	99999999999999999	1	623	92.79661016949152
1	416	1	429	91.50995575221239
1	239	1	312	92.89940828402368
1	219	1	340	96.14583333333331
1	425	1	451	93.47826086956522
1	853	1	863	97.9683972911964
1	188	1	608	97.77777777777777
1	540	1	544	90.00420875420876
1	212	1	290	95.03968253968254
1	354	1	358	96.47606382978725
1	332	1	346	93.68243243243242
1	191	1	195	90.69634703196347
1	403	1	499	90.57142857142858
1	620	1	624	90.56748466257667
1	236	1	499	94.70057034220532
1	330	1	343	94.141689373297
1	322	1	328	93.18181818181819
1	210	1	214	91.91176470588235
1	262	1	276	93.62664473684211
1	1858	1	1883	98.8135815416885
1	321	1	347	91.27358490566037
1	202	1	218	94.47916666666666
1	263	1	279	91.68032786885246
1	279	1	347	94.13956639566395
0	99999999999999999	1	1811	98.83768352365415
1	256	1	306	91.32575757575756
0	99999999999999999	1	223	93.15352697095435
1	187	1	191	90.82943925233646
1	187	1	191	90.18264840182647
1	140	1	144	90.58823529411764
1	235	1	266	93.87755102040816
1	285	1	289	94.94336569579289
1	360	1	364	96.16368286445012
1	453	1	467	94.86788617886178
1	530	1	562	92.04351535836177
1	304	1	308	90.21084337349397
1	298	1	302	92.91158536585367
